Date,Style,Set 1,Set 2,Set 3
2022-12-25,Wall,50,50,50
2022-12-26,Incline,40,40,40
2022-12-31,Incline,40,40,40
2023-01-07,Incline,40,40,40
2023-01-15,Advanced incline,23,17,10
2023-01-18,Advanced incline,24,13,10
2023-01-22,Advanced incline,26,17,14
2023-01-25,Advanced incline,28,15,12
2023-01-28,Advanced incline,25,18,10
2023-01-31,Advanced incline,26,15,11
2023-02-03,Advanced incline,28,19,15
2023-02-06,Advanced incline,27,17,13
2023-02-10,Advanced incline,31,23,15
2023-02-13,Advanced incline,29,18,14
2023-02-16,Advanced incline,29,21,15
2023-02-19,Advanced incline,33,21,15
2023-02-23,Advanced incline,35,24,17
2023-02-27,Advanced incline,32,17,14
2023-03-03,Advanced incline,35,25,22
2023-03-06,Advanced incline,35,26,25
2023-03-13,Advanced incline,35,25,15
2023-03-25,Advanced incline,35,25,20
2023-04-02,Advanced incline,35,22,15
